phone_model,support,date,model_name,model_number
Reno4Z 5G（CPH2065）,quarterly,2022-03-13 14:25:03,Reno4Z 5G,CPH2065
Reno4 Lite（CPH2119、CPH2125）,quarterly,2022-03-13 14:25:03,Reno4 Lite,CPH2119、CPH2125
Reno Ace2（PDHM00）,quarterly,2022-03-13 14:25:03,Reno Ace2,PDHM00
Reno Ace（PCLM10）,quarterly,2022-03-13 14:25:03,Reno Ace,PCLM10
Reno3 Pro 5G（PCRM00）,quarterly,2022-03-13 14:25:03,Reno3 Pro 5G,PCRM00
Reno3 Pro（CPH2035、CPH2036、CPH2037、CPH2009）,quarterly,2022-03-13 14:25:03,Reno3 Pro,CPH2035、CPH2036、CPH2037、CPH2009
Reno3  5G（PCLM50、A001OP、PDCM00）,quarterly,2022-03-13 14:25:03,Reno3  5G,PCLM50、A001OP、PDCM00
Reno3（PDCM00、CPH2043）,quarterly,2022-03-13 14:25:03,Reno3,PDCM00、CPH2043
Reno2 F（CPH1989）,quarterly,2022-03-13 14:25:03,Reno2 F,CPH1989
Reno2 Z（CPH1945、CPH1951、PCKM80）,quarterly,2022-03-13 14:25:03,Reno2 Z,CPH1945、CPH1951、PCKM80
Reno Z（PCDM10、PCDT10、CPH1979）,quarterly,2022-03-13 14:25:03,Reno Z,PCDM10、PCDT10、CPH1979
Reno2（PCKM00、CPH1907）,quarterly,2022-03-13 14:25:03,Reno2,PCKM00、CPH1907
Reno3 A（CPH2013、A002OP）,quarterly,2022-03-13 14:25:03,Reno3 A,CPH2013、A002OP
Reno A（PCDM10、PCDT10、CPH1979、CPH1983）,quarterly,2022-03-13 14:25:03,Reno A,PCDM10、PCDT10、CPH1979、CPH1983
Reno 10x Room（CPH1921、CPH1919、PCCM00、PCCT00）,quarterly,2022-03-13 14:25:03,Reno 10x Room,CPH1921、CPH1919、PCCM00、PCCT00
Reno 5G（CPH1921）,quarterly,2022-03-13 14:25:03,Reno 5G,CPH1921
Reno（CPH1917、CPH1921、PCAM00、PCAT00）,quarterly,2022-03-13 14:25:03,Reno,CPH1917、CPH1921、PCAM00、PCAT00
AX7 Pro/R17 Neo/RX17 Neo（CPH1893）,quarterly,2022-03-13 14:25:03,AX7 Pro/R17 Neo/RX17 Neo,CPH1893
R17Pro（PBDM00、PBDT00、CPH1877）,quarterly,2022-03-13 14:25:03,R17Pro,PBDM00、PBDT00、CPH1877
R17（PBEM00、PBET00、CPH1879）,quarterly,2022-03-13 14:25:03,R17,PBEM00、PBET00、CPH1879
R15x（PBCM10、PBCT10）,quarterly,2022-03-13 14:25:03,R15x,PBCM10、PBCT10
R15（PACM00、PACT00、CPH1835）,quarterly,2022-03-13 14:25:03,R15,PACM00、PACT00、CPH1835
R15Pro（CPH1831、CPH1833）,quarterly,2022-03-13 14:25:03,R15Pro,CPH1831、CPH1833
F19S（CPH2223）,quarterly,2022-03-13 14:25:03,F19S,CPH2223
F19/A74（CPH2197、CPH2219）,quarterly,2022-03-13 14:25:03,F19/A74,CPH2197、CPH2219
F19 Pro+ （CPH2213）,quarterly,2022-03-13 14:25:03,F19 Pro+ ,CPH2213
F19 Pro/Reno5 F （CPH2217、CPH2285）,quarterly,2022-03-13 14:25:03,F19 Pro/Reno5 F ,CPH2217、CPH2285
F17 Pro（CPH2119）,quarterly,2022-03-13 14:25:03,F17 Pro,CPH2119
F17（CPH2095）,quarterly,2022-03-13 14:25:03,F17,CPH2095
F15（CPH2001）,quarterly,2022-03-13 14:25:03,F15,CPH2001
F11 Pro（CPH1969、CPH1987）,quarterly,2022-03-13 14:25:03,F11 Pro,CPH1969、CPH1987
F11（CPH1911）,quarterly,2022-03-13 14:25:03,F11,CPH1911
F9（CPH1823、CPH1825、CPH1881）,quarterly,2022-03-13 14:25:03,F9,CPH1823、CPH1825、CPH1881
F7 Youth（CPH1859）,quarterly,2022-03-13 14:25:03,F7 Youth,CPH1859
F7（CPH1821）,quarterly,2022-03-13 14:25:03,F7,CPH1821
A7x（PERM00）,quarterly,2022-03-13 14:25:03,A7x,PERM00
A95 5G（PELM00）,quarterly,2022-03-13 14:25:03,A95 5G,PELM00
A95（CPH2365）,quarterly,2022-03-13 14:25:03,A95,CPH2365
A94 5G/Reno5Z（CPH2211、PELM00）,quarterly,2022-03-13 14:25:03,A94 5G/Reno5Z,CPH2211、PELM00
A94 （CPH2203）,quarterly,2022-03-13 14:25:03,A94 ,CPH2203
A93 5G（PEHM00、CPH2121）,quarterly,2022-03-13 14:25:03,A93 5G,PEHM00、CPH2121
A93（CPH1921、CPH1923、CPH2123、PEHT00）,quarterly,2022-03-13 14:25:03,A93,CPH1921、CPH1923、CPH2123、PEHT00
A93S（PFGM00）,quarterly,2022-03-13 14:25:03,A93S,PFGM00
A92（CPH2059）,quarterly,2022-03-13 14:25:03,A92,CPH2059
A92s（PDKM00、PDKT00）,quarterly,2022-03-13 14:25:03,A92s,PDKM00、PDKT00
A91（PCPM00、CPH2021、CPH2001、PCAT10、PCAM10）,quarterly,2022-03-13 14:25:03,A91,PCPM00、CPH2021、CPH2001、PCAT10、PCAM10
A9 2020（CPH1937，CPH1941）,quarterly,2022-03-13 14:25:03,A9 2020,CPH1937，CPH1941
A74（CPH2219）,quarterly,2022-03-13 14:25:03,A74,CPH2219
A74 5G（CPH2197、CPH2263）,quarterly,2022-03-13 14:25:03,A74 5G,CPH2197、CPH2263
A73（CPH2095、CPH2099、CPH2161）,quarterly,2022-03-13 14:25:03,A73,CPH2095、CPH2099、CPH2161
A73 5G（CPH2161）,quarterly,2022-03-13 14:25:03,A73 5G,CPH2161
A72（PDYM20、PDYT20、CPH2067）,quarterly,2022-03-13 14:25:03,A72,PDYM20、PDYT20、CPH2067
A72n（PDYM10）,quarterly,2022-03-13 14:25:03,A72n,PDYM10
A59（CPH2365）,quarterly,2022-03-13 14:25:03,A59,CPH2365
A56（PFVM10）,quarterly,2022-03-13 14:25:03,A56,PFVM10
A55S（CPH2309）,quarterly,2022-03-13 14:25:03,A55S,CPH2309
A55s 5G（A102OP）,quarterly,2022-03-13 14:25:03,A55s 5G,A102OP
A55（CPH2325）,quarterly,2022-03-13 14:25:03,A55,CPH2325
A55 5G（PEMM00、PEMT00、PEMM20、PEMT20）,quarterly,2022-03-13 14:25:03,A55 5G,PEMM00、PEMT00、PEMM20、PEMT20
A54（CPH2239、CPH2195、CPH2241）,quarterly,2022-03-13 14:25:03,A54,CPH2239、CPH2195、CPH2241
A54 5G（CPH2195、CPH2303）,quarterly,2022-03-13 14:25:03,A54 5G,CPH2195、CPH2303
A53（PECM30、PECT30、CPH2127、CPH2131、CPH2139、CPH2135）,quarterly,2022-03-13 14:25:03,A53,PECM30、PECT30、CPH2127、CPH2131、CPH2139、CPH2135
A53 5G（PECM20、PECM30、PECT30）,quarterly,2022-03-13 14:25:03,A53 5G,PECM20、PECM30、PECT30
A53s 5G（CPH2135、CPH2321）,quarterly,2022-03-13 14:25:03,A53s 5G,CPH2135、CPH2321
A52（PDAM10、PDAT10、CPH2061、CPH2069）,quarterly,2022-03-13 14:25:03,A52,PDAM10、PDAT10、CPH2061、CPH2069
A16（CPH2269、CPH2271、CPH2275）,quarterly,2022-03-13 14:25:03,A16,CPH2269、CPH2271、CPH2275
A16K（CPH2349）,quarterly,2022-03-13 14:25:03,A16K,CPH2349
A15（CPH2179、CPH2185、CPH2185T2）,quarterly,2022-03-13 14:25:03,A15,CPH2179、CPH2185、CPH2185T2
A12（CPH2077、CPH2083）,quarterly,2022-03-13 14:25:03,A12,CPH2077、CPH2083
A11k（CPH2071、CPH2083、PCHM30、PCHT30）,quarterly,2022-03-13 14:25:03,A11k,CPH2071、CPH2083、PCHM30、PCHT30
A11（PCHM10、CPH1941、CPH1943）,quarterly,2022-03-13 14:25:03,A11,PCHM10、CPH1941、CPH1943
A9x（PCEM00、PCET00、CPH1938）,quarterly,2022-03-13 14:25:03,A9x,PCEM00、PCET00、CPH1938
A9（PCAM10、PCAT10、CPH1938，CPH2001）,quarterly,2022-03-13 14:25:03,A9,PCAM10、PCAT10、CPH1938，CPH2001
A9 2020（CPH1937、CPH1941）,quarterly,2022-03-13 14:25:03,A9 2020,CPH1937、CPH1941
A5 2020（CPH1931、CPH1933、CPH1943）,quarterly,2022-03-13 14:25:03,A5 2020,CPH1931、CPH1933、CPH1943
A8（PDBM00）,quarterly,2022-03-13 14:25:03,A8,PDBM00
A7n（PCDM00、PCDT00）,quarterly,2022-03-13 14:25:03,A7n,PCDM00、PCDT00
A1k（CPH1923）,quarterly,2022-03-13 14:25:03,A1k,CPH1923
AX7（CPH1903）,quarterly,2022-03-13 14:25:03,AX7,CPH1903
AX5（CPH1851）,quarterly,2022-03-13 14:25:03,AX5,CPH1851
A35（PEFM00）,quarterly,2022-03-13 14:25:03,A35,PEFM00
A33（CPH2137）,quarterly,2022-03-13 14:25:03,A33,CPH2137
A32（PDVM00）,quarterly,2022-03-13 14:25:03,A32,PDVM00
A31（CPH2015、CPH2073、CPH2081、CPH2031）,quarterly,2022-03-13 14:25:03,A31,CPH2015、CPH2073、CPH2081、CPH2031
A3（PADM00、PADT00、CPH1837）,quarterly,2022-03-13 14:25:03,A3,PADM00、PADT00、CPH1837
K9 5G（PEXM00）,quarterly,2022-03-13 14:25:03,K9 5G,PEXM00
K9 PRO（PEYM00）,quarterly,2022-03-13 14:25:03,K9 PRO,PEYM00
K9S（PERM10）,quarterly,2022-03-13 14:25:03,K9S,PERM10
K7x（PERM00）,quarterly,2022-03-13 14:25:03,K7x,PERM00
K7（PCRT01）,quarterly,2022-03-13 14:25:03,K7,PCRT01
K5（PCNM00）,quarterly,2022-03-13 14:25:03,K5,PCNM00
K3（PCGM00、CPH1955、PCNM00）,quarterly,2022-03-13 14:25:03,K3,PCGM00、CPH1955、PCNM00
A15（CPH2179、CPH2185）,others,2022-03-13 14:25:03,A15,CPH2179、CPH2185
A16k（CPH2349）,others,2022-03-13 14:25:03,A16k,CPH2349
A32（PDVM00）,others,2022-03-13 14:25:03,A32,PDVM00
A33（CPH2137）,others,2022-03-13 14:25:03,A33,CPH2137
A35（PEFM00）,others,2022-03-13 14:25:03,A35,PEFM00
A53s 5G（CPH2321）,others,2022-03-13 14:25:03,A53s 5G,CPH2321
A54（CPH2239、CPH2241）,others,2022-03-13 14:25:03,A54,CPH2239、CPH2241
A55 5G（PEMM20、PEMM00、PEMT00、PEMT20）,others,2022-03-13 14:25:03,A55 5G,PEMM20、PEMM00、PEMT00、PEMT20
A55s（CPH2309）,others,2022-03-13 14:25:03,A55s,CPH2309
A55s 5G（A102OP）,others,2022-03-13 14:25:03,A55s 5G,A102OP
A56（PFVM10）,others,2022-03-13 14:25:03,A56,PFVM10
A74（CPH2219）,others,2022-03-13 14:25:03,A74,CPH2219
A74 5G（CPH2263、CPH2197）,others,2022-03-13 14:25:03,A74 5G,CPH2263、CPH2197
A9（PCAM10、PCAT10、CPH1938）,others,2022-03-13 14:25:03,A9,PCAM10、PCAT10、CPH1938
A91（PCPM00、CPH2001、CPH2021）,others,2022-03-13 14:25:03,A91,PCPM00、CPH2001、CPH2021
A93s（PFGM00）,others,2022-03-13 14:25:03,A93s,PFGM00
A95（CPH2365）,others,2022-03-13 14:25:03,A95,CPH2365
A9x（PCEM00、PCET00）,others,2022-03-13 14:25:03,A9x,PCEM00、PCET00
F11（CPH1911）,others,2022-03-13 14:25:03,F11,CPH1911
F11 Pro（CPH1969、CPH1987）,others,2022-03-13 14:25:03,F11 Pro,CPH1969、CPH1987
F19 Pro+（CPH2213）,others,2022-03-13 14:25:03,F19 Pro+,CPH2213
F19s（CPH2223）,others,2022-03-13 14:25:03,F19s,CPH2223
Find  N （PEUM00）,others,2022-03-13 14:25:03,Find  N ,PEUM00
Find X2（CPH2023、PDEM10）,others,2022-03-13 14:25:03,Find X2,CPH2023、PDEM10
Find X2 Lite（CPH2005）,others,2022-03-13 14:25:03,Find X2 Lite,CPH2005
Find X2 Neo/Reno3 Pro（CPH2009）,others,2022-03-13 14:25:03,Find X2 Neo/Reno3 Pro,CPH2009
Find X2 Pro（CPH2025、PDEM30）,others,2022-03-13 14:25:03,Find X2 Pro,CPH2025、PDEM30
Find X3（PEDM00）,others,2022-03-13 14:25:03,Find X3,PEDM00
Find X3 Neo（CPH2207）,others,2022-03-13 14:25:03,Find X3 Neo,CPH2207
Find X3 Pro（CPH2173、PEEM00）,others,2022-03-13 14:25:03,Find X3 Pro,CPH2173、PEEM00
K7x（PERM00）,others,2022-03-13 14:25:03,K7x,PERM00
K9 5G（PEXM00）,others,2022-03-13 14:25:03,K9 5G,PEXM00
Reno Z（CPH1979、PCDM10、PCDT10）,others,2022-03-13 14:25:03,Reno Z,CPH1979、PCDM10、PCDT10
Reno2 F（CPH1989）,others,2022-03-13 14:25:03,Reno2 F,CPH1989
Reno2 Z（CPH1945、CPH1951、PCKM80）,others,2022-03-13 14:25:03,Reno2 Z,CPH1945、CPH1951、PCKM80
Reno3 5G（A001OP）,others,2022-03-13 14:25:03,Reno3 5G,A001OP
Reno3 Pro（CPH2009）,others,2022-03-13 14:25:03,Reno3 Pro,CPH2009
Reno5（CPH2145、CPH2159）,others,2022-03-13 14:25:03,Reno5,CPH2145、CPH2159
Reno5 A（A101OP、CPH2199）,others,2022-03-13 14:25:03,Reno5 A,A101OP、CPH2199
Reno5 pro（CPH2201、PDST00）,others,2022-03-13 14:25:03,Reno5 pro,CPH2201、PDST00
Reno5 Pro 5G（PDSM00）,others,2022-03-13 14:25:03,Reno5 Pro 5G,PDSM00
Reno5 Pro+ 5G（PDRM00）,others,2022-03-13 14:25:03,Reno5 Pro+ 5G,PDRM00
Reno6（CPH2235、CPH2251、PEQM00）,others,2022-03-13 14:25:03,Reno6,CPH2235、CPH2251、PEQM00
Reno6 pro（CPH2247、CPH2249、PEPM00）,others,2022-03-13 14:25:03,Reno6 pro,CPH2247、CPH2249、PEPM00
Reno6 Pro+ 5G（PENM00）,others,2022-03-13 14:25:03,Reno6 Pro+ 5G,PENM00
Reno7（PFJM10）,others,2022-03-13 14:25:03,Reno7,PFJM10
Reno7 pro（PFDM00）,others,2022-03-13 14:25:03,Reno7 pro,PFDM00
Reno7 SE（PFCM00）,others,2022-03-13 14:25:03,Reno7 SE,PFCM00
Find  N (PEUM00),monthly,2021-12-23 06:38:10,Find  N ,
Find X3 （PEDM00、PEDT00）,monthly,2021-12-23 06:38:10,Find X3 ,PEDM00、PEDT00
Find X3 Pro （PEEM00、CPH2173）,monthly,2021-12-23 06:38:10,Find X3 Pro ,PEEM00、CPH2173
Find X3 Lite 5G（CPH2145）,monthly,2021-12-23 06:38:10,Find X3 Lite 5G,CPH2145
Find x3 neo（CPH2207）,monthly,2021-12-23 06:38:10,Find x3 neo,CPH2207
Find X2 Pro（PDEM30、CPH2025）,monthly,2021-12-23 06:38:10,Find X2 Pro,PDEM30、CPH2025
Find X2（PDEM10、CPH2023、CPH1921、PDET10）,monthly,2021-12-23 06:38:10,Find X2,PDEM10、CPH2023、CPH1921、PDET10
Find X2 Neo（CPH2009）,monthly,2021-12-23 06:38:10,Find X2 Neo,CPH2009
Find X2 Lite（CPH2005）,monthly,2021-12-23 06:38:10,Find X2 Lite,CPH2005
Find X（CPH1871、CPH1875、PAFM00、PAHM00、PAFT00）,monthly,2021-12-23 06:38:10,Find X,CPH1871、CPH1875、PAFM00、PAHM00、PAFT00
Reno7 5G(PFJM10),quarterly,2021-12-23 06:38:10,Reno7 5G,
Reno7 Pro 5G(PFDM00）,quarterly,2021-12-23 06:38:10,Reno7 Pro 5G,
Reno7 SE(PFCM00),quarterly,2021-12-23 06:38:10,Reno7 SE,
Reno6（CPH2235、CPH2251、PEQM00）,quarterly,2021-12-23 06:38:10,Reno6,CPH2235、CPH2251、PEQM00
Reno6 5G(CPH2251),quarterly,2021-12-23 06:38:10,Reno6 5G,
Reno6 Pro（CPH2249、PEPM00、PEQM00、CPH2247）,quarterly,2021-12-23 06:38:10,Reno6 Pro,CPH2249、PEPM00、PEQM00、CPH2247
Reno6 Pro+ 5G（PENM00）,quarterly,2021-12-23 06:38:10,Reno6 Pro+ 5G,PENM00
Reno6 Z（CPH2237）,quarterly,2021-12-23 06:38:10,Reno6 Z,CPH2237
Reno5 Pro+ 5G(PDRM00),quarterly,2021-12-23 06:38:10,Reno5 Pro+ 5G,
Reno5 Pro 5G（CPH2207、PDSM00、PDST00）,quarterly,2021-12-23 06:38:10,Reno5 Pro 5G,CPH2207、PDSM00、PDST00
Reno5 5G（PEGM00、PEGT00、CPH2145）,quarterly,2021-12-23 06:38:10,Reno5 5G,PEGM00、PEGT00、CPH2145
Reno5 Lite （CPH2205）,quarterly,2021-12-23 06:38:10,Reno5 Lite ,CPH2205
Reno5 K 5G （PEGM10、PEGT10）,quarterly,2021-12-23 06:38:10,Reno5 K 5G ,PEGM10、PEGT10
Reno5 F （CPH2217）,quarterly,2021-12-23 06:38:10,Reno5 F ,CPH2217
Reno5 Pro+ 5G（PDRM00）,quarterly,2021-12-23 06:38:10,Reno5 Pro+ 5G,PDRM00
Reno5 A（A101OP、CPH2199）,quarterly,2021-12-23 06:38:10,Reno5 A,A101OP、CPH2199
Reno5 Z（CPH2211、CPH2213、PELM00）,quarterly,2021-12-23 06:38:10,Reno5 Z,CPH2211、CPH2213、PELM00
Reno5 Pro（PDRM00、PDSM00、PDST00、CPH2201）,quarterly,2021-12-23 06:38:10,Reno5 Pro,PDRM00、PDSM00、PDST00、CPH2201
Reno5（PEGM00、PEGT00、CPH2159、CPH2145）,quarterly,2021-12-23 06:38:10,Reno5,PEGM00、PEGT00、CPH2159、CPH2145
Reno4 SE 5G（PEAM00、PEAT00）,quarterly,2021-12-23 06:38:10,Reno4 SE 5G,PEAM00、PEAT00
Reno4 Pro 5G（PDNM00、PDNT00、CPH2089、CPH2109）,quarterly,2021-12-23 06:38:10,Reno4 Pro 5G,PDNM00、PDNT00、CPH2089、CPH2109
Reno4 5G（PDPT00、PDPM00、CPH2091）,quarterly,2021-12-23 06:38:10,Reno4 5G,PDPT00、PDPM00、CPH2091
Reno4 Pro（PDNT00、PDNM00、CPH2089）,quarterly,2021-12-23 06:38:10,Reno4 Pro,PDNT00、PDNM00、CPH2089
Reno4 （CPH2091、CPH2113）,quarterly,2021-12-23 06:38:10,Reno4 ,CPH2091、CPH2113
Reno4 F（CPH2209）,quarterly,2021-12-23 06:38:10,Reno4 F,CPH2209
Reno4Z 5G（CPH2065）,quarterly,2021-12-23 06:38:10,Reno4Z 5G,CPH2065
Reno4 Lite（CPH2119、CPH2125）,quarterly,2021-12-23 06:38:10,Reno4 Lite,CPH2119、CPH2125
Reno Ace2（PDHM00）,quarterly,2021-12-23 06:38:10,Reno Ace2,PDHM00
Reno Ace（PCLM10）,quarterly,2021-12-23 06:38:10,Reno Ace,PCLM10
Reno3 Pro 5G（PCRM00）,quarterly,2021-12-23 06:38:10,Reno3 Pro 5G,PCRM00
Reno3 Pro（CPH2035、CPH2036、CPH2037、CPH2009）,quarterly,2021-12-23 06:38:10,Reno3 Pro,CPH2035、CPH2036、CPH2037、CPH2009
Reno3  5G（PCLM50、A001OP、PDCM00）,quarterly,2021-12-23 06:38:10,Reno3  5G,PCLM50、A001OP、PDCM00
Reno3（PDCM00、CPH2043）,quarterly,2021-12-23 06:38:10,Reno3,PDCM00、CPH2043
Reno2 F（CPH1989）,quarterly,2021-12-23 06:38:10,Reno2 F,CPH1989
Reno2 Z（CPH1945、CPH1951、PCKM80）,quarterly,2021-12-23 06:38:10,Reno2 Z,CPH1945、CPH1951、PCKM80
Reno Z（PCDM10、PCDT10、CPH1979）,quarterly,2021-12-23 06:38:10,Reno Z,PCDM10、PCDT10、CPH1979
Reno2（PCKM00、CPH1907）,quarterly,2021-12-23 06:38:10,Reno2,PCKM00、CPH1907
Reno3 A（CPH2013、A002OP）,quarterly,2021-12-23 06:38:10,Reno3 A,CPH2013、A002OP
Reno A（PCDM10、PCDT10、CPH1979、CPH1983）,quarterly,2021-12-23 06:38:10,Reno A,PCDM10、PCDT10、CPH1979、CPH1983
Reno 10x Room（CPH1921、CPH1919、PCCM00、PCCT00）,quarterly,2021-12-23 06:38:10,Reno 10x Room,CPH1921、CPH1919、PCCM00、PCCT00
Reno 5G（CPH1921）,quarterly,2021-12-23 06:38:10,Reno 5G,CPH1921
Reno（CPH1917、CPH1921、PCAM00、PCAT00）,quarterly,2021-12-23 06:38:10,Reno,CPH1917、CPH1921、PCAM00、PCAT00
AX7 Pro/R17 Neo/RX17 Neo（CPH1893）,quarterly,2021-12-23 06:38:10,AX7 Pro/R17 Neo/RX17 Neo,CPH1893
R17Pro（PBDM00、PBDT00、CPH1877）,quarterly,2021-12-23 06:38:10,R17Pro,PBDM00、PBDT00、CPH1877
R17（PBEM00、PBET00、CPH1879）,quarterly,2021-12-23 06:38:10,R17,PBEM00、PBET00、CPH1879
R15x（PBCM10、PBCT10）,quarterly,2021-12-23 06:38:10,R15x,PBCM10、PBCT10
R15（PACM00、PACT00、CPH1835）,quarterly,2021-12-23 06:38:10,R15,PACM00、PACT00、CPH1835
R15Pro（CPH1831、CPH1833）,quarterly,2021-12-23 06:38:10,R15Pro,CPH1831、CPH1833
F19S（CPH2223）,quarterly,2021-12-23 06:38:10,F19S,CPH2223
F19/A74（CPH2197、CPH2219）,quarterly,2021-12-23 06:38:10,F19/A74,CPH2197、CPH2219
F19 Pro+ （CPH2213）,quarterly,2021-12-23 06:38:10,F19 Pro+ ,CPH2213
F19 Pro/Reno5 F （CPH2217、CPH2285）,quarterly,2021-12-23 06:38:10,F19 Pro/Reno5 F ,CPH2217、CPH2285
F17 Pro（CPH2119）,quarterly,2021-12-23 06:38:10,F17 Pro,CPH2119
F17（CPH2095）,quarterly,2021-12-23 06:38:10,F17,CPH2095
F15（CPH2001）,quarterly,2021-12-23 06:38:10,F15,CPH2001
F11 Pro（CPH1969、CPH1987）,quarterly,2021-12-23 06:38:10,F11 Pro,CPH1969、CPH1987
F11（CPH1911）,quarterly,2021-12-23 06:38:10,F11,CPH1911
F9（CPH1823、CPH1825、CPH1881）,quarterly,2021-12-23 06:38:10,F9,CPH1823、CPH1825、CPH1881
F7 Youth（CPH1859）,quarterly,2021-12-23 06:38:10,F7 Youth,CPH1859
F7（CPH1821）,quarterly,2021-12-23 06:38:10,F7,CPH1821
A7x（PERM00）,quarterly,2021-12-23 06:38:10,A7x,PERM00
A95 5G（PELM00）,quarterly,2021-12-23 06:38:10,A95 5G,PELM00
A95（CPH2365）,quarterly,2021-12-23 06:38:10,A95,CPH2365
A94 5G/Reno5Z（CPH2211、PELM00）,quarterly,2021-12-23 06:38:10,A94 5G/Reno5Z,CPH2211、PELM00
A94 （CPH2203）,quarterly,2021-12-23 06:38:10,A94 ,CPH2203
A93 5G（PEHM00、CPH2121）,quarterly,2021-12-23 06:38:10,A93 5G,PEHM00、CPH2121
A93（CPH1921、CPH1923、CPH2123、PEHT00）,quarterly,2021-12-23 06:38:10,A93,CPH1921、CPH1923、CPH2123、PEHT00
A93S（PFGM00）,quarterly,2021-12-23 06:38:10,A93S,PFGM00
A92（CPH2059）,quarterly,2021-12-23 06:38:10,A92,CPH2059
A92s（PDKM00、PDKT00）,quarterly,2021-12-23 06:38:10,A92s,PDKM00、PDKT00
A91（PCPM00、CPH2021、CPH2001、PCAT10、PCAM10）,quarterly,2021-12-23 06:38:10,A91,PCPM00、CPH2021、CPH2001、PCAT10、PCAM10
A9 2020（CPH1937，CPH1941）,quarterly,2021-12-23 06:38:10,A9 2020,CPH1937，CPH1941
A74（CPH2219）,quarterly,2021-12-23 06:38:10,A74,CPH2219
A74 5G（CPH2197、CPH2263）,quarterly,2021-12-23 06:38:10,A74 5G,CPH2197、CPH2263
A73（CPH2095、CPH2099、CPH2161）,quarterly,2021-12-23 06:38:10,A73,CPH2095、CPH2099、CPH2161
A73 5G（CPH2161）,quarterly,2021-12-23 06:38:10,A73 5G,CPH2161
A72（PDYM20、PDYT20、CPH2067）,quarterly,2021-12-23 06:38:10,A72,PDYM20、PDYT20、CPH2067
A72n（PDYM10）,quarterly,2021-12-23 06:38:10,A72n,PDYM10
A59（CPH2365）,quarterly,2021-12-23 06:38:10,A59,CPH2365
A56（PFVM10）,quarterly,2021-12-23 06:38:10,A56,PFVM10
A55S（CPH2309）,quarterly,2021-12-23 06:38:10,A55S,CPH2309
A55s 5G（A102OP）,quarterly,2021-12-23 06:38:10,A55s 5G,A102OP
A55（CPH2325）,quarterly,2021-12-23 06:38:10,A55,CPH2325
A55 5G（PEMM00、PEMT00、PEMM20、PEMT20）,quarterly,2021-12-23 06:38:10,A55 5G,PEMM00、PEMT00、PEMM20、PEMT20
A54（CPH2239、CPH2195、CPH2241）,quarterly,2021-12-23 06:38:10,A54,CPH2239、CPH2195、CPH2241
A54 5G（CPH2195、CPH2303）,quarterly,2021-12-23 06:38:10,A54 5G,CPH2195、CPH2303
A53（PECM30、PECT30、CPH2127、CPH2131、CPH2139、CPH2135）,quarterly,2021-12-23 06:38:10,A53,PECM30、PECT30、CPH2127、CPH2131、CPH2139、CPH2135
A53 5G（PECM20、PECM30、PECT30）,quarterly,2021-12-23 06:38:10,A53 5G,PECM20、PECM30、PECT30
A53s 5G（CPH2135、CPH2321）,quarterly,2021-12-23 06:38:10,A53s 5G,CPH2135、CPH2321
A52（PDAM10、PDAT10、CPH2061、CPH2069）,quarterly,2021-12-23 06:38:10,A52,PDAM10、PDAT10、CPH2061、CPH2069
A16（CPH2269、CPH2271、CPH2275）,quarterly,2021-12-23 06:38:10,A16,CPH2269、CPH2271、CPH2275
A16K（CPH2349）,quarterly,2021-12-23 06:38:10,A16K,CPH2349
A15（CPH2179、CPH2185、CPH2185T2）,quarterly,2021-12-23 06:38:10,A15,CPH2179、CPH2185、CPH2185T2
A12（CPH2077、CPH2083）,quarterly,2021-12-23 06:38:10,A12,CPH2077、CPH2083
A11k（CPH2071、CPH2083、PCHM30、PCHT30）,quarterly,2021-12-23 06:38:10,A11k,CPH2071、CPH2083、PCHM30、PCHT30
A11（PCHM10、CPH1941、CPH1943）,quarterly,2021-12-23 06:38:10,A11,PCHM10、CPH1941、CPH1943
A9x（PCEM00、PCET00、CPH1938）,quarterly,2021-12-23 06:38:10,A9x,PCEM00、PCET00、CPH1938
A9（PCAM10、PCAT10、CPH1938，CPH2001）,quarterly,2021-12-23 06:38:10,A9,PCAM10、PCAT10、CPH1938，CPH2001
A9 2020（CPH1937、CPH1941）,quarterly,2021-12-23 06:38:10,A9 2020,CPH1937、CPH1941
A5 2020（CPH1931、CPH1933、CPH1943）,quarterly,2021-12-23 06:38:10,A5 2020,CPH1931、CPH1933、CPH1943
A8（PDBM00）,quarterly,2021-12-23 06:38:10,A8,PDBM00
A7n（PCDM00、PCDT00）,quarterly,2021-12-23 06:38:10,A7n,PCDM00、PCDT00
A1k（CPH1923）,quarterly,2021-12-23 06:38:10,A1k,CPH1923
AX7（CPH1903）,quarterly,2021-12-23 06:38:10,AX7,CPH1903
AX5（CPH1851）,quarterly,2021-12-23 06:38:10,AX5,CPH1851
A35（PEFM00）,quarterly,2021-12-23 06:38:10,A35,PEFM00
A33（CPH2137）,quarterly,2021-12-23 06:38:10,A33,CPH2137
A32（PDVM00）,quarterly,2021-12-23 06:38:10,A32,PDVM00
A31（CPH2015、CPH2073、CPH2081、CPH2031）,quarterly,2021-12-23 06:38:10,A31,CPH2015、CPH2073、CPH2081、CPH2031
A3（PADM00、PADT00、CPH1837）,quarterly,2021-12-23 06:38:10,A3,PADM00、PADT00、CPH1837
K9 5G（PEXM00）,quarterly,2021-12-23 06:38:10,K9 5G,PEXM00
K9 PRO（PEYM00）,quarterly,2021-12-23 06:38:10,K9 PRO,PEYM00
